"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","CONDIZIONE_DICH","Condizione e posizione nella professione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2010","2010",27.3,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2011","2011",24.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2012","2012",26.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2013","2013",24.4,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2014","2014",21.1,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2015","2015",22.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2016","2016",19.5,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2017","2017",22.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2018","2018",25.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2019","2019",22.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","3","in cerca di prima occupazione","2020","2020",15.9,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2010","2010",15.8,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2011","2011",17.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2012","2012",16.9,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2013","2013",17.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2014","2014",16.6,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2015","2015",17.2,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2016","2016",16.2,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2017","2017",15.7,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2018","2018",15.4,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2019","2019",13.4,,
"15_WALLET_NEIGHBNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","1","occupato","2020","2020",12.9,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2010","2010",4964,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2011","2011",4940,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2012","2012",4930,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2013","2013",4709,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2014","2014",4947,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2015","2015",4944,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2016","2016",5023,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2017","2017",4944,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2018","2018",4694,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2019","2019",4844,,
"15_WALLET_NEIGHBQ","abbastanza","THV","valori in migliaia","1","maschi","1","occupato","2020","2020",4713,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2010","2010",1130,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2011","2011",1289,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2012","2012",1207,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2013","2013",1249,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2014","2014",1153,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2015","2015",1232,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2016","2016",1183,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2017","2017",1198,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2018","2018",1058,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2019","2019",1089,,
"15_WALLET_NEIGHBNM","poco","THV","valori in migliaia","1","maschi","6","ritirato-a dal lavoro","2020","2020",984,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2010","2010",8.8,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2011","2011",9.4,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2012","2012",8.3,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2013","2013",9.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2014","2014",7.2,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2015","2015",8.3,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2016","2016",7.6,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2017","2017",8.1,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2018","2018",8,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2019","2019",7.5,,
"15_WALLET_NEIGHBNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","1","occupato","2020","2020",7.6,,
"15_WALLET_POLICQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","9","totale","4","casalinga-o","2010","2010",36.8,,
"15_WALLET_POLICQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","9","totale","4","casalinga-o","2011","2011",42.3,,
