"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2010","2010",9.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2011","2011",8.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2012","2012",5.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2013","2013",6.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2014","2014",7.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2015","2015",6.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2016","2016",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2017","2017",8.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2018","2018",7.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2019","2019",4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2020","2020",3.6,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2010","2010",28,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2011","2011",31,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2012","2012",22,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2013","2013",25,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2014","2014",25,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2015","2015",16,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2016","2016",23,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2017","2017",14,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2018","2018",5,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2019","2019",20,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y25-44","25-44 anni","3","licenza di scuola elementare, nessun titolo di studio","2020","2020",12,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2010","2010",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2011","2011",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2012","2012",11.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2013","2013",11.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2014","2014",11.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2015","2015",11.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2016","2016",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2017","2017",10.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2018","2018",10.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2019","2019",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE14","14 anni e più","99","totale","2020","2020",7.5,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2010","2010",397,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2011","2011",302,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2012","2012",309,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2013","2013",330,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2014","2014",293,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2015","2015",341,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2016","2016",275,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2017","2017",263,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2018","2018",233,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2019","2019",215,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-44","25-44 anni","4","licenza di scuola media","2020","2020",174,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2010","2010",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2011","2011",10.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2012","2012",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2013","2013",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2014","2014",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2015","2015",9.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2016","2016",9.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2017","2017",9.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2018","2018",9.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2019","2019",7.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE65","65 anni e più","99","totale","2020","2020",6.7,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE65","65 anni e più","11","laurea e post-laurea","2010","2010",24,,
