"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2010","2010",19087,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2011","2011",19235,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2012","2012",19706,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2013","2013",19943,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2014","2014",21061,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2015","2015",20354,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2016","2016",21121,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2017","2017",21575,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2018","2018",22380,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2019","2019",22897,,
"IT","Italia","14_WALLET_STRANGNM","poco","THV","valori in migliaia","2020","2020",23909,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2010","2010",36.7,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2011","2011",37.2,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2012","2012",37.9,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2013","2013",38.1,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2014","2014",40,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2015","2015",38.6,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2016","2016",40.1,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2017","2017",41,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2018","2018",42.5,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2019","2019",43.5,,
"IT","Italia","14_WALLET_STRANGNM","poco","HSC","per 100 persone con le stesse caratteristiche","2020","2020",45.4,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2010","2010",897,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2011","2011",825,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2012","2012",1016,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2013","2013",869,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2014","2014",1142,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2015","2015",1065,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2016","2016",1111,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2017","2017",1015,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2018","2018",1235,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2019","2019",1424,,
"IT","Italia","14_WALLET_STRANGV","molto","THV","valori in migliaia","2020","2020",1440,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2010","2010",8.8,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2011","2011",8.7,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2012","2012",9.8,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2013","2013",8.8,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2014","2014",10.2,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2015","2015",9.1,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2016","2016",10,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2017","2017",9.6,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2018","2018",10.8,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2019","2019",12.3,,
"IT","Italia","14_WALLET_STRANGQ","abbastanza","HSC","per 100 persone con le stesse caratteristiche","2020","2020",13,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2010","2010",11.8,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2011","2011",12,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2012","2012",11.7,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2013","2013",12,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2014","2014",11.8,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2015","2015",11.9,,
"IT","Italia","14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2016","2016",10.7,,
